copy_index,evaluator_only,perturbed_event_id,run_id,scenario,source_event_id
0,True,C0080,run_041,exact_transport_copy_2x,C0080
0,True,C0225,run_041,exact_transport_copy_2x,C0225
0,True,C0093,run_041,exact_transport_copy_2x,C0093
0,True,C0043,run_041,exact_transport_copy_2x,C0043
0,True,C0219,run_041,exact_transport_copy_2x,C0219
0,True,C0260,run_041,exact_transport_copy_2x,C0260
0,True,C0131,run_041,exact_transport_copy_2x,C0131
0,True,C0041,run_041,exact_transport_copy_2x,C0041
0,True,C0271,run_041,exact_transport_copy_2x,C0271
0,True,C0056,run_041,exact_transport_copy_2x,C0056
0,True,C0018,run_041,exact_transport_copy_2x,C0018
0,True,C0021,run_041,exact_transport_copy_2x,C0021
0,True,C0200,run_041,exact_transport_copy_2x,C0200
0,True,C0275,run_041,exact_transport_copy_2x,C0275
0,True,C0281,run_041,exact_transport_copy_2x,C0281
0,True,C0168,run_041,exact_transport_copy_2x,C0168
0,True,C0296,run_041,exact_transport_copy_2x,C0296
0,True,C0017,run_041,exact_transport_copy_2x,C0017
0,True,C0027,run_041,exact_transport_copy_2x,C0027
0,True,C0207,run_041,exact_transport_copy_2x,C0207
0,True,C0068,run_041,exact_transport_copy_2x,C0068
0,True,C0100,run_041,exact_transport_copy_2x,C0100
0,True,C0170,run_041,exact_transport_copy_2x,C0170
0,True,C0202,run_041,exact_transport_copy_2x,C0202
0,True,C0234,run_041,exact_transport_copy_2x,C0234
0,True,C0211,run_041,exact_transport_copy_2x,C0211
0,True,C0149,run_041,exact_transport_copy_2x,C0149
0,True,C0141,run_041,exact_transport_copy_2x,C0141
0,True,C0153,run_041,exact_transport_copy_2x,C0153
0,True,C0151,run_041,exact_transport_copy_2x,C0151
0,True,C0124,run_041,exact_transport_copy_2x,C0124
0,True,C0051,run_041,exact_transport_copy_2x,C0051
0,True,C0011,run_041,exact_transport_copy_2x,C0011
0,True,C0167,run_041,exact_transport_copy_2x,C0167
0,True,C0073,run_041,exact_transport_copy_2x,C0073
0,True,C0140,run_041,exact_transport_copy_2x,C0140
0,True,C0125,run_041,exact_transport_copy_2x,C0125
0,True,C0269,run_041,exact_transport_copy_2x,C0269
0,True,C0184,run_041,exact_transport_copy_2x,C0184
0,True,C0052,run_041,exact_transport_copy_2x,C0052
0,True,C0078,run_041,exact_transport_copy_2x,C0078
0,True,C0282,run_041,exact_transport_copy_2x,C0282
0,True,C0313,run_041,exact_transport_copy_2x,C0313
0,True,C0123,run_041,exact_transport_copy_2x,C0123
0,True,C0015,run_041,exact_transport_copy_2x,C0015
0,True,C0171,run_041,exact_transport_copy_2x,C0171
0,True,C0029,run_041,exact_transport_copy_2x,C0029
0,True,C0025,run_041,exact_transport_copy_2x,C0025
0,True,C0026,run_041,exact_transport_copy_2x,C0026
0,True,C0109,run_041,exact_transport_copy_2x,C0109
0,True,C0182,run_041,exact_transport_copy_2x,C0182
0,True,C0065,run_041,exact_transport_copy_2x,C0065
0,True,C0002,run_041,exact_transport_copy_2x,C0002
0,True,C0302,run_041,exact_transport_copy_2x,C0302
0,True,C0145,run_041,exact_transport_copy_2x,C0145
0,True,C0274,run_041,exact_transport_copy_2x,C0274
0,True,C0095,run_041,exact_transport_copy_2x,C0095
0,True,C0086,run_041,exact_transport_copy_2x,C0086
0,True,C0317,run_041,exact_transport_copy_2x,C0317
0,True,C0060,run_041,exact_transport_copy_2x,C0060
0,True,C0295,run_041,exact_transport_copy_2x,C0295
0,True,C0174,run_041,exact_transport_copy_2x,C0174
0,True,C0178,run_041,exact_transport_copy_2x,C0178
0,True,C0186,run_041,exact_transport_copy_2x,C0186
0,True,C0311,run_041,exact_transport_copy_2x,C0311
0,True,C0307,run_041,exact_transport_copy_2x,C0307
0,True,C0115,run_041,exact_transport_copy_2x,C0115
0,True,C0142,run_041,exact_transport_copy_2x,C0142
0,True,C0054,run_041,exact_transport_copy_2x,C0054
0,True,C0160,run_041,exact_transport_copy_2x,C0160
0,True,C0067,run_041,exact_transport_copy_2x,C0067
0,True,C0248,run_041,exact_transport_copy_2x,C0248
0,True,C0075,run_041,exact_transport_copy_2x,C0075
0,True,C0097,run_041,exact_transport_copy_2x,C0097
0,True,C0177,run_041,exact_transport_copy_2x,C0177
0,True,C0236,run_041,exact_transport_copy_2x,C0236
0,True,C0155,run_041,exact_transport_copy_2x,C0155
0,True,C0293,run_041,exact_transport_copy_2x,C0293
0,True,C0089,run_041,exact_transport_copy_2x,C0089
0,True,C0106,run_041,exact_transport_copy_2x,C0106
0,True,C0306,run_041,exact_transport_copy_2x,C0306
0,True,C0258,run_041,exact_transport_copy_2x,C0258
0,True,C0250,run_041,exact_transport_copy_2x,C0250
0,True,C0247,run_041,exact_transport_copy_2x,C0247
0,True,C0038,run_041,exact_transport_copy_2x,C0038
0,True,C0304,run_041,exact_transport_copy_2x,C0304
0,True,C0064,run_041,exact_transport_copy_2x,C0064
0,True,C0196,run_041,exact_transport_copy_2x,C0196
0,True,C0169,run_041,exact_transport_copy_2x,C0169
0,True,C0292,run_041,exact_transport_copy_2x,C0292
0,True,C0112,run_041,exact_transport_copy_2x,C0112
0,True,C0165,run_041,exact_transport_copy_2x,C0165
0,True,C0042,run_041,exact_transport_copy_2x,C0042
0,True,C0193,run_041,exact_transport_copy_2x,C0193
0,True,C0039,run_041,exact_transport_copy_2x,C0039
0,True,C0166,run_041,exact_transport_copy_2x,C0166
0,True,C0173,run_041,exact_transport_copy_2x,C0173
0,True,C0194,run_041,exact_transport_copy_2x,C0194
0,True,C0237,run_041,exact_transport_copy_2x,C0237
0,True,C0158,run_041,exact_transport_copy_2x,C0158
0,True,C0098,run_041,exact_transport_copy_2x,C0098
0,True,C0288,run_041,exact_transport_copy_2x,C0288
0,True,C0081,run_041,exact_transport_copy_2x,C0081
0,True,C0085,run_041,exact_transport_copy_2x,C0085
0,True,C0212,run_041,exact_transport_copy_2x,C0212
